ts,bidPrice,bidQty,askPrice,askQty
2025-07-24T02:26:12.7392953Z,19.99,7377,20.01,5000
2025-07-24T02:26:12.7392953Z,19.98,4304,20.02,4304
2025-07-24T02:26:12.7392953Z,19.97,3704,20.03,3704
2025-07-24T02:26:12.7392953Z,19.96,3188,20.04,3188
2025-07-24T02:26:12.7392953Z,19.95,2744,20.05,2744
2025-07-24T02:26:12.7392953Z,19.94,2362,20.06,2362
2025-07-24T02:26:12.7392953Z,19.93,2032,20.07,2032
2025-07-24T02:26:12.7392953Z,19.92,1750,20.08,1750
2025-07-24T02:26:12.7392953Z,19.91,1506,20.09,1506
2025-07-24T02:26:12.7392953Z,19.90,1296,20.10,1296
                                   
2025-07-24T02:26:13.7392953Z,19.97,2456,19.98,5152
2025-07-24T02:26:13.7392953Z,19.96,2152,19.99,2500
2025-07-24T02:26:13.7392953Z,19.95,1852,19.99,3350
2025-07-24T02:26:13.7392953Z,19.94,1594,20.00,2152
2025-07-24T02:26:13.7392953Z,19.93,1016,20.00,7858
2025-07-24T02:26:13.7392953Z,19.93,1372,20.01,1852
2025-07-24T02:26:13.7392953Z,19.92,1181,20.01,3020
2025-07-24T02:26:13.7392953Z,19.91,1016,20.02,1594
2025-07-24T02:26:13.7392953Z,19.90,875,20.02,8207
2025-07-24T02:26:13.7392953Z,19.89,753,20.03,1372
                                   
2025-07-24T02:26:14.7392953Z,19.90,1527,19.92,2500
2025-07-24T02:26:14.7392953Z,19.90,1808,19.93,12221
2025-07-24T02:26:14.7392953Z,19.89,2152,19.93,2152
2025-07-24T02:26:14.7392953Z,19.88,1852,19.94,12993
2025-07-24T02:26:14.7392953Z,19.87,1594,19.94,1852
2025-07-24T02:26:14.7392953Z,19.86,1372,19.95,11074
2025-07-24T02:26:14.7392953Z,19.85,1181,19.95,1594
2025-07-24T02:26:14.7392953Z,19.84,1016,19.96,19362
2025-07-24T02:26:14.7392953Z,19.83,875,19.96,1372
2025-07-24T02:26:14.7392953Z,19.82,753,19.97,1181
                                   
2025-07-24T02:26:15.7392953Z,19.87,2103,19.89,2500
2025-07-24T02:26:15.7392953Z,19.87,10124,19.90,17697
2025-07-24T02:26:15.7392953Z,19.86,2152,19.90,2152
