ts,message
2025-07-24T02:26:12.7375485Z,DripFlipStrategy ready.
2025-07-24T02:26:12.7383488Z,LadderLiftStrategy initialized at 2025-07-24T02:26:12.7382910Z
2025-07-24T02:26:47.0082610Z,Flattening 185 @ market (bid=20.21, vwap=20.11)
2025-07-24T02:26:49.6776372Z,Flattening 170 @ market (bid=20.43, vwap=20.33)
2025-07-24T02:26:51.7400379Z,Flattening 131 @ market (bid=20.60, vwap=20.50)
2025-07-24T02:26:57.3164377Z,Flattening 355 @ market (bid=20.83, vwap=20.70)
2025-07-24T02:27:09.4691126Z,Flattening 776 @ market (bid=20.93, vwap=21.00)
2025-07-24T02:27:11.0190147Z,Flattening 98 @ market (bid=20.84, vwap=20.95)
2025-07-24T02:28:17.9409000Z,Placing ladder from 20.70
2025-07-24T02:28:18.0807632Z,Shifting ladder up to start 20.71
2025-07-24T02:28:18.0824080Z,Placing ladder from 20.71
2025-07-24T02:28:18.9879708Z,Shifting ladder up to start 20.72
2025-07-24T02:28:18.9881100Z,Placing ladder from 20.72
2025-07-24T02:28:19.1605632Z,Got touched ‑ cancelling ladder to stay flat
2025-07-24T02:28:19.1751492Z,Placing ladder from 20.71
2025-07-24T02:28:20.6259603Z,Got touched ‑ cancelling ladder to stay flat
2025-07-24T02:28:20.6412472Z,Placing ladder from 20.71
2025-07-24T02:28:20.6572100Z,Shifting ladder up to start 20.72
2025-07-24T02:28:20.6574140Z,Placing ladder from 20.72
2025-07-24T02:28:20.7031029Z,Got touched ‑ cancelling ladder to stay flat
2025-07-24T02:28:20.7185341Z,Placing ladder from 20.70
2025-07-24T02:28:20.8437286Z,Shifting ladder up to start 20.71
2025-07-24T02:28:20.8438691Z,Placing ladder from 20.71
2025-07-24T02:28:21.1106272Z,Shifting ladder up to start 20.72
2025-07-24T02:28:21.1107652Z,Placing ladder from 20.72
2025-07-24T02:28:21.2507636Z,Shifting ladder up to start 20.73
2025-07-24T02:28:21.2508626Z,Placing ladder from 20.73
2025-07-24T02:28:21.3619626Z,Shifting ladder down to start 20.72
2025-07-24T02:28:21.3621768Z,Placing ladder from 20.72
2025-07-24T02:28:21.8617731Z,Got touched ‑ cancelling ladder to stay flat
2025-07-24T02:28:21.8774014Z,Placing ladder from 20.71
2025-07-24T02:28:21.8933964Z,Shifting ladder up to start 20.72
2025-07-24T02:28:21.8934834Z,Placing ladder from 20.72
2025-07-24T02:28:21.9083813Z,Shifting ladder down to start 20.71
2025-07-24T02:28:21.9086161Z,Placing ladder from 20.71
2025-07-24T02:28:22.0476875Z,Shifting ladder up to start 20.72
2025-07-24T02:28:22.0477835Z,Placing ladder from 20.72
2025-07-24T02:28:22.2330051Z,Shifting ladder up to start 20.73
2025-07-24T02:28:22.2330998Z,Placing ladder from 20.73
2025-07-24T02:28:22.6558555Z,Shifting ladder up to start 20.73
2025-07-24T02:28:22.6559139Z,Placing ladder from 20.73
2025-07-24T02:28:23.0301103Z,Shifting ladder up to start 20.73
2025-07-24T02:28:23.0303589Z,Placing ladder from 20.73
2025-07-24T02:28:23.1885085Z,Shifting ladder down to start 20.72
2025-07-24T02:28:23.1886631Z,Placing ladder from 20.72
2025-07-24T02:28:23.2038287Z,Shifting ladder up to start 20.73
2025-07-24T02:28:23.2040206Z,Placing ladder from 20.73
2025-07-24T02:28:23.2651404Z,Shifting ladder up to start 20.74
2025-07-24T02:28:23.2653388Z,Placing ladder from 20.74
2025-07-24T02:28:23.4672631Z,Shifting ladder up to start 20.75
2025-07-24T02:28:23.4676244Z,Placing ladder from 20.75
2025-07-24T02:28:24.0920900Z,Shifting ladder down to start 20.74
2025-07-24T02:28:24.0922273Z,Placing ladder from 20.74
2025-07-24T02:28:24.4195992Z,Got touched ‑ cancelling ladder to stay flat
2025-07-24T02:28:24.4351402Z,Placing ladder from 20.73
2025-07-24T02:28:24.4662267Z,Shifting ladder up to start 20.74
2025-07-24T02:28:24.4664199Z,Placing ladder from 20.74
2025-07-24T02:28:24.6215600Z,Got touched ‑ cancelling ladder to stay flat
2025-07-24T02:28:24.6369273Z,Placing ladder from 20.73
2025-07-24T02:28:24.7005358Z,Shifting ladder up to start 20.74
2025-07-24T02:28:24.7007662Z,Placing ladder from 20.74
2025-07-24T02:28:24.8707963Z,Shifting ladder down to start 20.73
2025-07-24T02:28:24.8709450Z,Placing ladder from 20.73
2025-07-24T02:28:24.9029302Z,Shifting ladder up to start 20.74
2025-07-24T02:28:24.9030676Z,Placing ladder from 20.74
2025-07-24T02:28:24.9194955Z,Shifting ladder up to start 20.75
2025-07-24T02:28:24.9196133Z,Placing ladder from 20.75
2025-07-24T02:28:25.4510454Z,Shifting ladder up to start 20.76
2025-07-24T02:28:25.4511355Z,Placing ladder from 20.76
2025-07-24T02:28:25.5136931Z,Got touched ‑ cancelling ladder to stay flat
2025-07-24T02:28:25.5303575Z,Placing ladder from 20.75
