ts,orderId,execType,side,price,lastQty,leaves
2025-07-24T02:26:12.7392953Z,2d50c22a-b083-4424-9b6a-678dd326d7ea,New,Buy,19.99,0,2377
2025-07-24T02:26:12.7492953Z,c92b28cc-c2dd-4800-a8d5-8e9ec655d4dc,Trade,Buy,19.99,1102,1398
2025-07-24T02:26:12.7592953Z,6f1cc246-2a0c-4ad9-941c-ffebcebb097e,New,Sell,20.02,0,592
2025-07-24T02:26:12.7692953Z,dc2089c4-fa08-420a-a572-06670d3c014e,Trade,Buy,19.99,1333,1167
2025-07-24T02:26:12.7692953Z,2d50c22a-b083-4424-9b6a-678dd326d7ea,Cancel,Buy,19.99,0,0
2025-07-24T02:26:12.7792953Z,47930adc-868e-468e-8af1-e9a5c9e7a89c,New,Sell,20.01,0,120
2025-07-24T02:26:12.7892953Z,2b3f7fd8-c4e5-4131-ad40-990f639744e2,Trade,Sell,20.01,2500,0
2025-07-24T02:26:12.7892953Z,119c4701-a133-4e8c-aa99-41b0b661cb79,Trade,Sell,20.01,581,1919
2025-07-24T02:26:12.7992953Z,5decb0e1-b92c-46e0-93e1-2fccfac38f20,New,Sell,20.02,0,408
2025-07-24T02:26:12.8092953Z,c92b28cc-c2dd-4800-a8d5-8e9ec655d4dc,Trade,Buy,19.99,633,765
2025-07-24T02:26:12.8192953Z,dc2089c4-fa08-420a-a572-06670d3c014e,Trade,Buy,19.99,1167,0
2025-07-24T02:26:12.8192953Z,960a07c3-3d21-40d3-8cd1-3c607abee3dd,Trade,Buy,19.99,100,1233
2025-07-24T02:26:12.8292953Z,c92b28cc-c2dd-4800-a8d5-8e9ec655d4dc,Trade,Buy,19.99,765,0
2025-07-24T02:26:12.8292953Z,960a07c3-3d21-40d3-8cd1-3c607abee3dd,Trade,Buy,19.99,722,511
2025-07-24T02:26:12.8392953Z,1d5ae5a6-1766-46e7-8cb6-d8a1c75a8555,New,Buy,19.99,0,9861
2025-07-24T02:26:12.8492953Z,bdda4296-b59b-4efd-acb1-12a774a2f3d0,Trade,Buy,19.99,1267,0
2025-07-24T02:26:12.8492953Z,960a07c3-3d21-40d3-8cd1-3c607abee3dd,Trade,Buy,19.99,511,0
2025-07-24T02:26:12.8492953Z,2a5cd2f4-d8f3-4474-92c2-0bd33bbddd51,Trade,Buy,19.99,319,403
2025-07-24T02:26:12.8492953Z,1576e236-0d64-4daf-bfc5-bbe2f63aa354,Cancel,Buy,19.93,0,0
2025-07-24T02:26:12.8592953Z,47930adc-868e-468e-8af1-e9a5c9e7a89c,Trade,Sell,20.01,120,0
2025-07-24T02:26:12.8592953Z,119c4701-a133-4e8c-aa99-41b0b661cb79,Trade,Sell,20.01,1705,214
2025-07-24T02:26:12.8692953Z,1d5ae5a6-1766-46e7-8cb6-d8a1c75a8555,Trade,Buy,19.99,914,8947
2025-07-24T02:26:12.8792953Z,648b07e7-b9b1-49f5-893e-5c93f57f96b7,New,Sell,20.00,0,466
2025-07-24T02:26:12.8892953Z,6b075da9-2a54-4b55-bf7c-61a5e815ca01,New,Sell,20.00,0,1472
2025-07-24T02:26:12.8992953Z,648b07e7-b9b1-49f5-893e-5c93f57f96b7,Trade,Sell,20.00,91,375
2025-07-24T02:26:12.9092953Z,306da4aa-0d80-45de-a5a6-0ad35f4bd605,New,Sell,20.02,0,1176
2025-07-24T02:26:12.9192953Z,86fcdac9-5245-448e-8033-31cef104e94a,New,Sell,20.00,0,613
2025-07-24T02:26:12.9292953Z,6b075da9-2a54-4b55-bf7c-61a5e815ca01,Trade,Sell,20.00,1390,82
2025-07-24T02:26:12.9392953Z,1491b01b-174a-4525-b1fe-e3d84d673157,New,Sell,20.00,0,2184
2025-07-24T02:26:12.9492953Z,3d3fd739-e969-4a5c-b160-f949dc371040,New,Sell,20.03,0,807
2025-07-24T02:26:12.9592953Z,1d5ae5a6-1766-46e7-8cb6-d8a1c75a8555,Trade,Buy,19.99,941,8006
2025-07-24T02:26:12.9692953Z,6fb8a80d-e618-4387-9de0-42f7df6cd4d9,New,Buy,19.98,0,751
2025-07-24T02:26:12.9692953Z,691ac139-c8f9-4a84-a1d0-763efb72f3ff,Cancel,Buy,19.97,0,0
2025-07-24T02:26:12.9792953Z,1d5ae5a6-1766-46e7-8cb6-d8a1c75a8555,Trade,Buy,19.99,415,7591
2025-07-24T02:26:12.9792953Z,205946fe-9650-42f2-ae95-96108ccd75c1,Cancel,Buy,19.91,0,0
