ts,side,price,qty
2025-07-24T02:26:12.7492953Z,Sell,19.99,1102
2025-07-24T02:26:12.7692953Z,Sell,19.99,1333
2025-07-24T02:26:12.7892953Z,Buy,20.01,2500
2025-07-24T02:26:12.7892953Z,Buy,20.01,581
2025-07-24T02:26:12.8092953Z,Sell,19.99,633
2025-07-24T02:26:12.8192953Z,Sell,19.99,1167
2025-07-24T02:26:12.8192953Z,Sell,19.99,100
2025-07-24T02:26:12.8292953Z,Sell,19.99,765
2025-07-24T02:26:12.8292953Z,Sell,19.99,722
2025-07-24T02:26:12.8492953Z,Sell,19.99,1267
2025-07-24T02:26:12.8492953Z,Sell,19.99,511
2025-07-24T02:26:12.8492953Z,Sell,19.99,319
2025-07-24T02:26:12.8592953Z,Buy,20.01,120
2025-07-24T02:26:12.8592953Z,Buy,20.01,1705
2025-07-24T02:26:12.8692953Z,Sell,19.99,914
2025-07-24T02:26:12.8992953Z,Buy,20.00,91
2025-07-24T02:26:12.9292953Z,Buy,20.00,1390
2025-07-24T02:26:12.9592953Z,Sell,19.99,941
2025-07-24T02:26:12.9792953Z,Sell,19.99,415
2025-07-24T02:26:12.9892953Z,Buy,20.00,375
2025-07-24T02:26:12.9892953Z,Buy,20.00,613
2025-07-24T02:26:12.9892953Z,Buy,20.00,82
2025-07-24T02:26:12.9892953Z,Buy,20.00,2184
2025-07-24T02:26:12.9892953Z,Buy,20.01,895
2025-07-24T02:26:12.9992953Z,Sell,19.99,5164
2025-07-24T02:26:13.0492953Z,Sell,19.99,2427
2025-07-24T02:26:13.0492953Z,Sell,19.99,880
2025-07-24T02:26:13.0992953Z,Buy,20.00,356
2025-07-24T02:26:13.1192953Z,Buy,20.00,1135
2025-07-24T02:26:13.1192953Z,Buy,20.00,1517
2025-07-24T02:26:13.1192953Z,Buy,20.01,371
2025-07-24T02:26:13.1292953Z,Sell,19.99,147
2025-07-24T02:26:13.1692953Z,Sell,19.99,4550
2025-07-24T02:26:13.2392953Z,Sell,19.99,705
2025-07-24T02:26:13.2492953Z,Sell,19.99,442
2025-07-24T02:26:13.2792953Z,Sell,19.99,76
2025-07-24T02:26:13.2992953Z,Buy,20.00,201
2025-07-24T02:26:13.3192953Z,Sell,19.99,407
2025-07-24T02:26:13.3192953Z,Sell,19.99,2299
2025-07-24T02:26:13.3392953Z,Sell,19.99,806
2025-07-24T02:26:13.3392953Z,Sell,19.99,1286
2025-07-24T02:26:13.3392953Z,Sell,19.99,785
2025-07-24T02:26:13.3392953Z,Sell,19.99,180
2025-07-24T02:26:13.3392953Z,Sell,19.99,509
2025-07-24T02:26:13.3392953Z,Sell,19.99,107
2025-07-24T02:26:13.3492953Z,Buy,20.00,208
2025-07-24T02:26:13.3492953Z,Buy,20.00,1099
2025-07-24T02:26:13.3892953Z,Sell,19.99,102
2025-07-24T02:26:13.3992953Z,Buy,20.00,262
2025-07-24T02:26:13.3992953Z,Buy,20.00,879
2025-07-24T02:26:13.4092953Z,Sell,19.99,86
2025-07-24T02:26:13.4092953Z,Sell,19.99,508
2025-07-24T02:26:13.4092953Z,Sell,19.99,1008
2025-07-24T02:26:13.4192953Z,Sell,19.98,97
2025-07-24T02:26:13.4392953Z,Buy,20.00,476
2025-07-24T02:26:13.4592953Z,Buy,20.00,3600
2025-07-24T02:26:13.4792953Z,Sell,19.99,2609
2025-07-24T02:26:13.4892953Z,Sell,19.99,1383
2025-07-24T02:26:13.5092953Z,Sell,19.99,493
2025-07-24T02:26:13.5292953Z,Sell,19.99,1231
2025-07-24T02:26:13.5292953Z,Sell,19.99,8769
2025-07-24T02:26:13.5292953Z,Sell,19.99,452
2025-07-24T02:26:13.5392953Z,Sell,19.98,632
2025-07-24T02:26:13.5492953Z,Sell,19.98,602
2025-07-24T02:26:13.5592953Z,Buy,20.00,1595
2025-07-24T02:26:13.5592953Z,Buy,20.00,272
2025-07-24T02:26:13.5692953Z,Sell,19.98,444
2025-07-24T02:26:13.5892953Z,Buy,19.99,874
2025-07-24T02:26:13.5892953Z,Buy,20.00,2308
2025-07-24T02:26:13.5992953Z,Sell,19.98,615
2025-07-24T02:26:13.6292953Z,Sell,19.98,751
2025-07-24T02:26:13.6292953Z,Sell,19.98,492
2025-07-24T02:26:13.6292953Z,Sell,19.98,3340
2025-07-24T02:26:13.6292953Z,Sell,19.98,445
2025-07-24T02:26:13.6292953Z,Sell,19.98,821
2025-07-24T02:26:13.6292953Z,Sell,19.98,167
2025-07-24T02:26:13.6292953Z,Sell,19.98,1537
2025-07-24T02:26:13.6292953Z,Sell,19.98,2500
2025-07-24T02:26:13.6292953Z,Sell,19.97,1852
2025-07-24T02:26:13.6292953Z,Sell,19.97,1022
2025-07-24T02:26:13.6592953Z,Sell,19.97,1021
2025-07-24T02:26:13.7192953Z,Sell,19.97,187
2025-07-24T02:26:13.7392953Z,Sell,19.97,188
2025-07-24T02:26:13.7392953Z,Sell,19.97,860
2025-07-24T02:26:13.7392953Z,Sell,19.97,44
2025-07-24T02:26:13.7492953Z,Sell,19.96,1591
2025-07-24T02:26:13.7792953Z,Buy,19.97,971
2025-07-24T02:26:13.7792953Z,Buy,19.98,792
2025-07-24T02:26:13.7892953Z,Sell,19.96,2500
2025-07-24T02:26:13.7892953Z,Sell,19.95,2152
2025-07-24T02:26:13.7892953Z,Sell,19.94,772
2025-07-24T02:26:13.8192953Z,Buy,19.96,898
2025-07-24T02:26:13.8492953Z,Sell,19.93,437
2025-07-24T02:26:13.8792953Z,Sell,19.93,539
2025-07-24T02:26:13.8892953Z,Sell,19.93,1863
2025-07-24T02:26:13.9092953Z,Sell,19.93,2500
2025-07-24T02:26:13.9092953Z,Sell,19.93,616
2025-07-24T02:26:13.9192953Z,Sell,19.93,400
2025-07-24T02:26:13.9192953Z,Sell,19.93,2082
2025-07-24T02:26:13.9292953Z,Sell,19.93,418
2025-07-24T02:26:13.9292953Z,Sell,19.93,1551
2025-07-24T02:26:13.9392953Z,Sell,19.93,166
2025-07-24T02:26:13.9492953Z,Sell,19.93,1792
2025-07-24T02:26:13.9692953Z,Sell,19.93,365
2025-07-24T02:26:13.9692953Z,Sell,19.93,166
2025-07-24T02:26:13.9692953Z,Sell,19.93,177
2025-07-24T02:26:13.9692953Z,Sell,19.93,386
2025-07-24T02:26:13.9792953Z,Buy,19.95,1096
2025-07-24T02:26:13.9792953Z,Buy,19.95,638
2025-07-24T02:26:13.9792953Z,Buy,19.95,395
2025-07-24T02:26:13.9892953Z,Sell,19.93,1406
2025-07-24T02:26:13.9892953Z,Sell,19.93,1094
2025-07-24T02:26:13.9892953Z,Sell,19.92,1370
2025-07-24T02:26:13.9992953Z,Sell,19.93,1077
2025-07-24T02:26:14.0192953Z,Buy,19.95,1278
2025-07-24T02:26:14.0292953Z,Sell,19.93,452
2025-07-24T02:26:14.0292953Z,Sell,19.93,30
2025-07-24T02:26:14.0492953Z,Sell,19.92,174
2025-07-24T02:26:14.0592953Z,Buy,19.94,1009
2025-07-24T02:26:14.0592953Z,Buy,19.94,1523
2025-07-24T02:26:14.0692953Z,Sell,19.92,1411
2025-07-24T02:26:14.0892953Z,Sell,19.92,209
2025-07-24T02:26:14.0992953Z,Sell,19.92,799
2025-07-24T02:26:14.1292953Z,Buy,19.95,1442
2025-07-24T02:26:14.1392953Z,Sell,19.93,178
2025-07-24T02:26:14.1392953Z,Sell,19.93,2500
2025-07-24T02:26:14.1392953Z,Sell,19.92,2152
2025-07-24T02:26:14.1392953Z,Sell,19.91,147
2025-07-24T02:26:14.1392953Z,Sell,19.91,677
2025-07-24T02:26:14.1492953Z,Sell,19.92,444
2025-07-24T02:26:14.1692953Z,Sell,19.91,614
2025-07-24T02:26:14.1992953Z,Buy,19.92,157
2025-07-24T02:26:14.2092953Z,Sell,19.91,812
2025-07-24T02:26:14.2092953Z,Sell,19.91,27
2025-07-24T02:26:14.2192953Z,Buy,19.92,837
2025-07-24T02:26:14.2192953Z,Buy,19.92,397
2025-07-24T02:26:14.2692953Z,Buy,19.91,834
2025-07-24T02:26:14.2692953Z,Buy,19.92,2500
2025-07-24T02:26:14.2692953Z,Buy,19.92,757
2025-07-24T02:26:14.2692953Z,Buy,19.92,654
2025-07-24T02:26:14.2692953Z,Buy,19.93,2152
2025-07-24T02:26:14.2692953Z,Buy,19.93,754
