ts,bidPrice,bidQty,askPrice,askQty
2025-07-24T02:19:48.9165429Z,19.99,3900,20.01,5000
2025-07-24T02:19:48.9165429Z,19.98,4304,20.02,4304
2025-07-24T02:19:48.9165429Z,19.97,3704,20.03,3704
2025-07-24T02:19:48.9165429Z,19.96,3188,20.04,3188
2025-07-24T02:19:48.9165429Z,19.95,2744,20.05,2744
2025-07-24T02:19:48.9165429Z,19.94,2362,20.06,2362
2025-07-24T02:19:48.9165429Z,19.93,2032,20.07,2032
2025-07-24T02:19:48.9165429Z,19.92,1750,20.08,1750
2025-07-24T02:19:48.9165429Z,19.91,1506,20.09,1506
2025-07-24T02:19:48.9165429Z,19.90,1296,20.10,1296
                                   
2025-07-24T02:19:49.9165429Z,20.00,28418,20.01,18527
2025-07-24T02:19:49.9165429Z,20.00,2500,20.02,2500
2025-07-24T02:19:49.9165429Z,19.99,5706,20.02,12051
2025-07-24T02:19:49.9165429Z,19.99,2152,20.03,2152
2025-07-24T02:19:49.9165429Z,19.98,15388,20.03,1852
2025-07-24T02:19:49.9165429Z,19.98,1852,20.04,1852
2025-07-24T02:19:49.9165429Z,19.97,988,20.05,1594
2025-07-24T02:19:49.9165429Z,19.97,1594,20.05,1372
2025-07-24T02:19:49.9165429Z,19.96,1594,20.06,1372
2025-07-24T02:19:49.9165429Z,19.96,1372,20.06,1181
                                   
2025-07-24T02:19:50.9165429Z,20.01,13062,20.02,19065
2025-07-24T02:19:50.9165429Z,20.01,2500,20.03,2500
2025-07-24T02:19:50.9165429Z,20.00,12784,20.03,1249
2025-07-24T02:19:50.9165429Z,20.00,2152,20.04,2152
2025-07-24T02:19:50.9165429Z,19.99,6945,20.05,1852
2025-07-24T02:19:50.9165429Z,19.99,1852,20.06,1594
2025-07-24T02:19:50.9165429Z,19.98,15909,20.06,1181
2025-07-24T02:19:50.9165429Z,19.98,1594,20.07,1372
2025-07-24T02:19:50.9165429Z,19.97,3629,20.08,1181
2025-07-24T02:19:50.9165429Z,19.97,1372,20.09,1016
                                   
2025-07-24T02:19:51.9165429Z,20.06,5280,20.08,2957
2025-07-24T02:19:51.9165429Z,20.05,9277,20.09,29591
2025-07-24T02:19:51.9165429Z,20.04,2607,20.10,2500
2025-07-24T02:19:51.9165429Z,20.03,5940,20.11,1594
2025-07-24T02:19:51.9165429Z,20.02,5569,20.12,1372
2025-07-24T02:19:51.9165429Z,20.01,14019,20.13,1181
2025-07-24T02:19:51.9165429Z,20.00,20427,20.14,1016
2025-07-24T02:19:51.9165429Z,19.99,4905,20.15,875
2025-07-24T02:19:51.9165429Z,19.98,11421,20.16,753
2025-07-24T02:19:51.9165429Z,19.97,4277,20.17,648
                                   
2025-07-24T02:19:52.9165429Z,20.10,2500,20.12,2977
2025-07-24T02:19:52.9165429Z,20.10,546,20.12,2500
2025-07-24T02:19:52.9165429Z,20.09,2152,20.13,2156
2025-07-24T02:19:52.9165429Z,20.09,7549,20.13,2152
2025-07-24T02:19:52.9165429Z,20.08,1852,20.14,2982
2025-07-24T02:19:52.9165429Z,20.08,14030,20.14,1852
2025-07-24T02:19:52.9165429Z,20.07,1594,20.15,3712
2025-07-24T02:19:52.9165429Z,20.07,7871,20.15,1594
2025-07-24T02:19:52.9165429Z,20.06,1372,20.16,1372
2025-07-24T02:19:52.9165429Z,20.06,9512,20.17,1181
                                   
