ts,buyPower,position,vwap,pnl
2025-07-24T02:19:48.9165429Z,0.00,0,0.00,0.00
2025-07-24T02:19:49.9165429Z,0.00,0,0.00,0.00
2025-07-24T02:19:50.9165429Z,0.00,0,0.00,0.00
2025-07-24T02:19:51.9165429Z,0.00,0,0.00,0.00
2025-07-24T02:19:52.9165429Z,0.00,0,0.00,0.00
2025-07-24T02:19:53.9165429Z,0.00,0,0.00,0.00
2025-07-24T02:19:54.9165429Z,0.00,0,0.00,0.00
2025-07-24T02:19:55.9165429Z,0.00,0,0.00,0.00
2025-07-24T02:19:56.9165429Z,0.00,0,0.00,0.00
2025-07-24T02:19:57.9165429Z,0.00,0,0.00,0.00
2025-07-24T02:19:58.9165429Z,0.00,0,0.00,0.00
2025-07-24T02:19:59.9165429Z,0.00,0,0.00,0.00
2025-07-24T02:20:00.9165429Z,0.00,0,0.00,0.00
2025-07-24T02:20:01.9165429Z,0.00,0,0.00,0.00
2025-07-24T02:20:02.9165429Z,0.00,0,0.00,0.00
2025-07-24T02:20:03.9165429Z,0.00,0,0.00,0.00
2025-07-24T02:20:04.9165429Z,0.00,0,0.00,0.00
2025-07-24T02:20:05.9165429Z,0.00,0,0.00,0.00
2025-07-24T02:20:06.9165429Z,0.00,0,0.00,0.00
2025-07-24T02:20:07.9165429Z,0.00,0,0.00,0.00
2025-07-24T02:20:08.9165429Z,0.00,0,0.00,0.00
2025-07-24T02:20:09.9165429Z,4036.91,200,20.18,-0.91
2025-07-24T02:20:10.9165429Z,8076.81,400,20.19,-0.81
2025-07-24T02:20:11.9165429Z,12117.54,600,20.20,-3.54
2025-07-24T02:20:12.9165429Z,16160.96,800,20.20,-0.96
2025-07-24T02:20:13.9165429Z,20203.09,1000,20.20,-23.09
2025-07-24T02:20:14.9165429Z,24241.01,1200,20.20,-37.01
2025-07-24T02:20:15.9165429Z,28277.60,1400,20.20,-53.60
2025-07-24T02:20:16.9165429Z,32312.73,1600,20.20,-40.73
2025-07-24T02:20:17.9165429Z,36347.35,1800,20.19,-76.23
2025-07-24T02:20:18.9165429Z,2373.59,118,20.12,-149.90
2025-07-24T02:20:19.9165429Z,2001.06,100,20.01,-162.44
2025-07-24T02:20:20.9165429Z,1514.98,76,19.93,-168.84
2025-07-24T02:20:21.9165429Z,5503.93,276,19.94,-166.28
2025-07-24T02:20:22.9165429Z,9496.91,476,19.95,-167.39
2025-07-24T02:20:23.9165429Z,13495.02,676,19.96,-140.19
2025-07-24T02:20:24.9165429Z,1247.10,62,20.11,-85.46
2025-07-24T02:20:25.9165429Z,5237.14,260,20.14,-83.85
2025-07-24T02:20:26.9165429Z,9271.78,460,20.16,-87.96
2025-07-24T02:20:27.9165429Z,13306.10,660,20.16,-85.68
2025-07-24T02:20:28.9165429Z,0.00,0,0.00,0.00
2025-07-24T02:20:29.9165429Z,0.00,0,0.00,0.00
2025-07-24T02:20:30.9165429Z,0.00,0,0.00,0.00
2025-07-24T02:20:31.9165429Z,0.00,0,0.00,0.00
2025-07-24T02:20:32.9165429Z,0.00,0,0.00,0.00
2025-07-24T02:20:33.9165429Z,0.00,0,0.00,0.00
2025-07-24T02:20:34.9165429Z,0.00,0,0.00,0.00
2025-07-24T02:20:35.9165429Z,0.00,0,0.00,0.00
2025-07-24T02:20:36.9165429Z,0.00,0,0.00,0.00
2025-07-24T02:20:37.9165429Z,0.00,0,0.00,0.00
2025-07-24T02:20:38.9165429Z,0.00,0,0.00,0.00
2025-07-24T02:20:39.9165429Z,0.00,0,0.00,0.00
2025-07-24T02:20:40.9165429Z,0.00,0,0.00,0.00
2025-07-24T02:20:41.9165429Z,0.00,0,0.00,0.00
2025-07-24T02:20:42.9165429Z,0.00,0,0.00,0.00
2025-07-24T02:20:43.9165429Z,0.00,0,0.00,0.00
2025-07-24T02:20:44.9165429Z,0.00,0,0.00,0.00
2025-07-24T02:20:45.9165429Z,0.00,0,0.00,0.00
2025-07-24T02:20:46.9165429Z,0.00,0,0.00,0.00
2025-07-24T02:20:47.9165429Z,0.00,0,0.00,0.00
2025-07-24T02:20:48.9165429Z,0.00,0,0.00,0.00
2025-07-24T02:20:49.9165429Z,0.00,0,0.00,0.00
2025-07-24T02:20:50.9165429Z,0.00,0,0.00,0.00
2025-07-24T02:20:51.9165429Z,0.00,0,0.00,0.00
2025-07-24T02:20:52.9165429Z,0.00,0,0.00,0.00
2025-07-24T02:20:53.9165429Z,0.00,0,0.00,0.00
2025-07-24T02:20:54.9165429Z,0.00,0,0.00,0.00
2025-07-24T02:20:55.9165429Z,0.00,0,0.00,0.00
2025-07-24T02:20:56.9165429Z,0.00,0,0.00,0.00
2025-07-24T02:20:57.9165429Z,0.00,0,0.00,0.00
2025-07-24T02:20:58.9165429Z,0.00,0,0.00,0.00
2025-07-24T02:20:59.9165429Z,0.00,0,0.00,0.00
2025-07-24T02:21:00.9165429Z,0.00,0,0.00,0.00
2025-07-24T02:21:01.9165429Z,0.00,0,0.00,0.00
2025-07-24T02:21:02.9165429Z,0.00,0,0.00,0.00
2025-07-24T02:21:03.9165429Z,0.00,0,0.00,0.00
2025-07-24T02:21:04.9165429Z,0.00,0,0.00,0.00
2025-07-24T02:21:05.9165429Z,0.00,0,0.00,0.00
2025-07-24T02:21:06.9165429Z,0.00,0,0.00,0.00
2025-07-24T02:21:07.9165429Z,0.00,0,0.00,0.00
2025-07-24T02:21:08.9165429Z,0.00,0,0.00,0.00
2025-07-24T02:21:09.9165429Z,949872.16,0,0.00,0.00
2025-07-24T02:21:10.9165429Z,951911.54,0,0.00,0.00
2025-07-24T02:21:11.9165429Z,803919.29,0,0.00,0.00
2025-07-24T02:21:12.9165429Z,809704.42,0,0.00,0.00
2025-07-24T02:21:13.9165429Z,711191.60,0,0.00,0.00
2025-07-24T02:21:14.9165429Z,960253.12,0,0.00,0.00
2025-07-24T02:21:15.9165429Z,961536.16,0,0.00,0.00
2025-07-24T02:21:16.9165429Z,963402.40,0,0.00,0.00
2025-07-24T02:21:17.9165429Z,963519.04,0,0.00,0.00
2025-07-24T02:21:18.9165429Z,962935.84,0,0.00,0.00
2025-07-24T02:21:19.9165429Z,961536.16,0,0.00,0.00
2025-07-24T02:21:20.9165429Z,812789.46,0,0.00,0.00
2025-07-24T02:21:21.9165429Z,961653.18,0,0.00,0.00
2025-07-24T02:21:22.9165429Z,964533.26,0,0.00,0.00
2025-07-24T02:21:23.9165429Z,969001.12,0,0.00,0.00
2025-07-24T02:21:24.9165429Z,973666.72,0,0.00,0.00
2025-07-24T02:21:25.9165429Z,975536.59,0,0.00,0.00
2025-07-24T02:21:26.9165429Z,979269.07,0,0.00,0.00
2025-07-24T02:21:27.9165429Z,988600.27,0,0.00,0.00
2025-07-24T02:21:28.9165429Z,0.00,0,0.00,0.00
2025-07-24T02:21:29.9165429Z,0.00,0,0.00,0.00
2025-07-24T02:21:30.9165429Z,0.00,0,0.00,0.00
2025-07-24T02:21:31.9165429Z,0.00,0,0.00,0.00
2025-07-24T02:21:32.9165429Z,0.00,0,0.00,0.00
2025-07-24T02:21:33.9165429Z,0.00,0,0.00,0.00
2025-07-24T02:21:34.9165429Z,0.00,0,0.00,0.00
2025-07-24T02:21:35.9165429Z,0.00,0,0.00,0.00
2025-07-24T02:21:36.9165429Z,0.00,0,0.00,0.00
2025-07-24T02:21:37.9165429Z,0.00,0,0.00,0.00
2025-07-24T02:21:38.9165429Z,0.00,0,0.00,0.00
2025-07-24T02:21:39.9165429Z,0.00,0,0.00,0.00
2025-07-24T02:21:40.9165429Z,0.00,0,0.00,0.00
2025-07-24T02:21:41.9165429Z,0.00,0,0.00,0.00
2025-07-24T02:21:42.9165429Z,0.00,0,0.00,0.00
2025-07-24T02:21:43.9165429Z,0.00,0,0.00,0.00
2025-07-24T02:21:44.9165429Z,0.00,0,0.00,0.00
2025-07-24T02:21:45.9165429Z,0.00,0,0.00,0.00
2025-07-24T02:21:46.9165429Z,0.00,0,0.00,0.00
