ts,side,price,qty
2025-07-24T02:19:48.9165429Z,Sell,19.99,1100
2025-07-24T02:19:48.9265429Z,Sell,19.99,1824
2025-07-24T02:19:48.9465429Z,Sell,19.99,1400
2025-07-24T02:19:48.9465429Z,Sell,19.99,676
2025-07-24T02:19:48.9465429Z,Sell,19.99,503
2025-07-24T02:19:48.9565429Z,Sell,19.99,977
2025-07-24T02:19:48.9865429Z,Sell,19.98,1242
2025-07-24T02:19:49.0065429Z,Sell,19.98,2035
2025-07-24T02:19:49.0265429Z,Buy,20.00,149
2025-07-24T02:19:49.0565429Z,Sell,19.98,1833
2025-07-24T02:19:49.0765429Z,Sell,19.98,873
2025-07-24T02:19:49.0865429Z,Buy,20.00,461
2025-07-24T02:19:49.0965429Z,Buy,20.00,272
2025-07-24T02:19:49.0965429Z,Buy,20.00,1146
2025-07-24T02:19:49.0965429Z,Buy,20.00,320
2025-07-24T02:19:49.0965429Z,Buy,20.00,264
2025-07-24T02:19:49.1065429Z,Sell,19.98,2338
2025-07-24T02:19:49.1165429Z,Buy,20.00,2236
2025-07-24T02:19:49.1165429Z,Buy,20.00,264
2025-07-24T02:19:49.1165429Z,Buy,20.01,164
2025-07-24T02:19:49.1265429Z,Buy,20.01,2417
2025-07-24T02:19:49.1365429Z,Buy,20.01,83
2025-07-24T02:19:49.1365429Z,Buy,20.01,2417
2025-07-24T02:19:49.1365429Z,Buy,20.01,234
2025-07-24T02:19:49.1365429Z,Buy,20.01,347
2025-07-24T02:19:49.1465429Z,Sell,19.99,64
2025-07-24T02:19:49.1565429Z,Sell,19.99,537
2025-07-24T02:19:49.1665429Z,Buy,20.01,607
2025-07-24T02:19:49.1765429Z,Buy,20.01,1893
2025-07-24T02:19:49.1765429Z,Buy,20.01,299
2025-07-24T02:19:49.1865429Z,Buy,20.01,308
2025-07-24T02:19:49.1865429Z,Buy,20.01,177
2025-07-24T02:19:49.2165429Z,Sell,19.99,463
2025-07-24T02:19:49.2165429Z,Sell,19.99,1214
2025-07-24T02:19:49.2265429Z,Buy,20.01,2500
2025-07-24T02:19:49.2265429Z,Buy,20.01,770
2025-07-24T02:19:49.2265429Z,Buy,20.01,2336
2025-07-24T02:19:49.2265429Z,Buy,20.02,814
2025-07-24T02:19:49.2565429Z,Buy,20.01,141
2025-07-24T02:19:49.2565429Z,Buy,20.01,2126
2025-07-24T02:19:49.2765429Z,Sell,19.99,476
2025-07-24T02:19:49.2965429Z,Buy,20.00,404
2025-07-24T02:19:49.2965429Z,Buy,20.02,564
2025-07-24T02:19:49.3165429Z,Sell,19.99,2500
2025-07-24T02:19:49.3165429Z,Sell,19.99,1172
2025-07-24T02:19:49.3165429Z,Sell,19.99,203
2025-07-24T02:19:49.3265429Z,Buy,20.01,2167
2025-07-24T02:19:49.3265429Z,Buy,20.01,1709
2025-07-24T02:19:49.3465429Z,Buy,20.01,296
2025-07-24T02:19:49.3765429Z,Sell,20.00,549
2025-07-24T02:19:49.3765429Z,Sell,20.00,1047
2025-07-24T02:19:49.3865429Z,Sell,20.00,1453
2025-07-24T02:19:49.3865429Z,Sell,20.00,148
2025-07-24T02:19:49.4865429Z,Buy,20.01,208
2025-07-24T02:19:49.5165429Z,Buy,20.01,1172
2025-07-24T02:19:49.5365429Z,Sell,20.00,443
2025-07-24T02:19:49.5465429Z,Sell,20.00,81
2025-07-24T02:19:49.5465429Z,Sell,20.00,680
2025-07-24T02:19:49.5565429Z,Sell,20.00,1586
2025-07-24T02:19:49.5665429Z,Buy,20.01,876
