ts,bidPrice,bidQty,askPrice,askQty
2025-07-24T03:38:08.1273233Z,19.99,5000,20.01,1412
2025-07-24T03:38:08.1273233Z,19.98,4304,20.02,4304
2025-07-24T03:38:08.1273233Z,19.97,3704,20.03,3704
2025-07-24T03:38:08.1273233Z,19.96,3188,20.04,3188
2025-07-24T03:38:08.1273233Z,19.95,2744,20.05,2744
2025-07-24T03:38:08.1273233Z,19.94,2362,20.06,2362
2025-07-24T03:38:08.1273233Z,19.93,2032,20.07,2032
2025-07-24T03:38:08.1273233Z,19.92,1750,20.08,1750
2025-07-24T03:38:08.1273233Z,19.91,1506,20.09,1506
2025-07-24T03:38:08.1273233Z,19.90,1296,20.10,1296
                                   
2025-07-24T03:38:09.1273233Z,20.02,11606,20.03,1542
2025-07-24T03:38:09.1273233Z,20.02,2500,20.04,2500
2025-07-24T03:38:09.1273233Z,20.01,646,20.05,2152
2025-07-24T03:38:09.1273233Z,20.01,2152,20.05,10795
2025-07-24T03:38:09.1273233Z,20.00,2741,20.06,1852
2025-07-24T03:38:09.1273233Z,20.00,1852,20.06,11322
2025-07-24T03:38:09.1273233Z,19.99,2109,20.07,1594
2025-07-24T03:38:09.1273233Z,19.99,1594,20.08,1372
2025-07-24T03:38:09.1273233Z,19.98,2152,20.09,1181
2025-07-24T03:38:09.1273233Z,19.98,1372,20.09,933
                                   
2025-07-24T03:38:10.1273233Z,20.00,2040,20.01,6599
2025-07-24T03:38:10.1273233Z,20.00,2500,20.02,2500
2025-07-24T03:38:10.1273233Z,19.99,6083,20.02,11082
2025-07-24T03:38:10.1273233Z,19.99,2152,20.03,2152
2025-07-24T03:38:10.1273233Z,19.98,2451,20.03,7397
2025-07-24T03:38:10.1273233Z,19.98,1852,20.04,1852
2025-07-24T03:38:10.1273233Z,19.97,1594,20.04,4582
2025-07-24T03:38:10.1273233Z,19.96,563,20.05,1594
2025-07-24T03:38:10.1273233Z,19.96,1372,20.05,2651
2025-07-24T03:38:10.1273233Z,19.95,1181,20.06,1372
                                   
2025-07-24T03:38:11.1273233Z,19.96,2500,19.98,2500
2025-07-24T03:38:11.1273233Z,19.95,2152,19.98,11506
2025-07-24T03:38:11.1273233Z,19.94,1852,19.99,2152
2025-07-24T03:38:11.1273233Z,19.93,1016,19.99,1913
2025-07-24T03:38:11.1273233Z,19.93,1594,20.00,1852
2025-07-24T03:38:11.1273233Z,19.92,1372,20.00,6733
2025-07-24T03:38:11.1273233Z,19.91,1181,20.01,1594
2025-07-24T03:38:11.1273233Z,19.90,1016,20.01,17386
2025-07-24T03:38:11.1273233Z,19.89,875,20.02,1372
2025-07-24T03:38:11.1273233Z,19.88,753,20.02,5447
                                   
2025-07-24T03:38:12.1273233Z,19.86,1497,19.88,1292
2025-07-24T03:38:12.1273233Z,19.86,2500,19.89,2152
2025-07-24T03:38:12.1273233Z,19.85,4195,19.90,1852
2025-07-24T03:38:12.1273233Z,19.85,2152,19.91,1594
2025-07-24T03:38:12.1273233Z,19.84,1852,19.92,1372
2025-07-24T03:38:12.1273233Z,19.83,1594,19.93,1181
2025-07-24T03:38:12.1273233Z,19.82,1372,19.94,1016
2025-07-24T03:38:12.1273233Z,19.81,1181,19.95,875
