ts,message
2025-07-24T03:38:08.1235022Z,DripFlipStrategy ready.
2025-07-24T03:38:08.1250852Z,LadderLiftStrategy initialized at 2025-07-24T03:38:08.1249438Z
2025-07-24T03:38:44.4946858Z,Flattening 322 @ market (bid=20.78, vwap=20.68)
2025-07-24T03:38:52.6084595Z,Flattening 518 @ market (bid=21.07, vwap=20.97)
2025-07-24T03:38:54.9956263Z,Flattening 152 @ market (bid=21.02, vwap=21.08)
2025-07-24T03:38:56.3240996Z,Flattening 84 @ market (bid=20.98, vwap=21.03)
2025-07-24T03:38:56.8699232Z,Flattening 34 @ market (bid=20.93, vwap=20.98)
2025-07-24T03:39:06.6371237Z,Flattening 623 @ market (bid=20.86, vwap=20.91)
2025-07-24T03:40:13.2682599Z,Placing ladder from 20.30
2025-07-24T03:40:13.2971382Z,Shifting ladder up to start 20.31
2025-07-24T03:40:13.2987226Z,Placing ladder from 20.31
2025-07-24T03:40:13.3432911Z,Got touched ‑ cancelling ladder to stay flat
2025-07-24T03:40:13.3591348Z,Placing ladder from 20.29
2025-07-24T03:40:13.4063078Z,Shifting ladder up to start 20.30
2025-07-24T03:40:13.4063767Z,Placing ladder from 20.30
2025-07-24T03:40:13.4374002Z,Got touched ‑ cancelling ladder to stay flat
2025-07-24T03:40:13.4522448Z,Placing ladder from 20.28
2025-07-24T03:40:13.4679541Z,Shifting ladder up to start 20.29
2025-07-24T03:40:13.4681266Z,Placing ladder from 20.29
2025-07-24T03:40:13.5160454Z,Shifting ladder down to start 20.28
2025-07-24T03:40:13.5162262Z,Placing ladder from 20.28
2025-07-24T03:40:13.5313728Z,Got touched ‑ cancelling ladder to stay flat
2025-07-24T03:40:13.5466165Z,Placing ladder from 20.28
2025-07-24T03:40:13.5783341Z,Got touched ‑ cancelling ladder to stay flat
2025-07-24T03:40:13.5941936Z,Placing ladder from 20.27
2025-07-24T03:40:13.6549898Z,Got touched ‑ cancelling ladder to stay flat
2025-07-24T03:40:13.6705984Z,Placing ladder from 20.26
2025-07-24T03:40:13.7009987Z,Shifting ladder up to start 20.27
2025-07-24T03:40:13.7010611Z,Placing ladder from 20.27
2025-07-24T03:40:13.8584801Z,Shifting ladder up to start 20.28
2025-07-24T03:40:13.8587147Z,Placing ladder from 20.28
2025-07-24T03:40:13.8739308Z,Shifting ladder up to start 20.29
2025-07-24T03:40:13.8740643Z,Placing ladder from 20.29
2025-07-24T03:40:13.9516910Z,Shifting ladder up to start 20.30
2025-07-24T03:40:13.9518854Z,Placing ladder from 20.30
2025-07-24T03:40:14.0762525Z,Got touched ‑ cancelling ladder to stay flat
2025-07-24T03:40:14.0923188Z,Placing ladder from 20.28
2025-07-24T03:40:14.1388524Z,Shifting ladder up to start 20.29
2025-07-24T03:40:14.1389552Z,Placing ladder from 20.29
2025-07-24T03:40:14.1548886Z,Shifting ladder up to start 20.30
2025-07-24T03:40:14.1550022Z,Placing ladder from 20.30
2025-07-24T03:40:14.3268490Z,Shifting ladder up to start 20.31
2025-07-24T03:40:14.3270546Z,Placing ladder from 20.31
2025-07-24T03:40:14.3420594Z,Shifting ladder up to start 20.32
2025-07-24T03:40:14.3422756Z,Placing ladder from 20.32
2025-07-24T03:40:14.4510294Z,Got touched ‑ cancelling ladder to stay flat
2025-07-24T03:40:14.4669581Z,Placing ladder from 20.31
2025-07-24T03:40:14.5454067Z,Shifting ladder up to start 20.32
2025-07-24T03:40:14.5456459Z,Placing ladder from 20.32
2025-07-24T03:40:14.7656332Z,Shifting ladder up to start 20.33
2025-07-24T03:40:14.7658088Z,Placing ladder from 20.33
2025-07-24T03:40:14.9707625Z,Shifting ladder down to start 20.32
2025-07-24T03:40:14.9709065Z,Placing ladder from 20.32
2025-07-24T03:40:15.0330631Z,Shifting ladder up to start 20.32
2025-07-24T03:40:15.0331541Z,Placing ladder from 20.32
2025-07-24T03:40:15.0799135Z,Shifting ladder up to start 20.33
2025-07-24T03:40:15.0800190Z,Placing ladder from 20.33
2025-07-24T03:40:15.0953226Z,Shifting ladder down to start 20.32
2025-07-24T03:40:15.0953803Z,Placing ladder from 20.32
2025-07-24T03:40:15.3448959Z,Shifting ladder up to start 20.33
2025-07-24T03:40:15.3449696Z,Placing ladder from 20.33
2025-07-24T03:40:15.5332310Z,Shifting ladder down to start 20.32
2025-07-24T03:40:15.5334520Z,Placing ladder from 20.32
2025-07-24T03:40:15.5491762Z,Shifting ladder up to start 20.33
2025-07-24T03:40:15.5493826Z,Placing ladder from 20.33
2025-07-24T03:40:15.6595380Z,Shifting ladder up to start 20.34
2025-07-24T03:40:15.6596159Z,Placing ladder from 20.34
2025-07-24T03:40:15.8457193Z,Shifting ladder up to start 20.35
2025-07-24T03:40:15.8458193Z,Placing ladder from 20.35
2025-07-24T03:40:15.9547684Z,Shifting ladder up to start 20.36
2025-07-24T03:40:15.9549903Z,Placing ladder from 20.36
2025-07-24T03:40:16.3443651Z,Shifting ladder up to start 20.37
2025-07-24T03:40:16.3446221Z,Placing ladder from 20.37
2025-07-24T03:40:16.3752557Z,Shifting ladder up to start 20.38
2025-07-24T03:40:16.3754283Z,Placing ladder from 20.38
2025-07-24T03:40:16.4706415Z,Shifting ladder up to start 20.39
2025-07-24T03:40:16.4707914Z,Placing ladder from 20.39
2025-07-24T03:40:16.6108211Z,Shifting ladder up to start 20.40
2025-07-24T03:40:16.6110041Z,Placing ladder from 20.40
2025-07-24T03:40:16.6421877Z,Shifting ladder up to start 20.41
2025-07-24T03:40:16.6424646Z,Placing ladder from 20.41
2025-07-24T03:40:16.7657085Z,Shifting ladder up to start 20.42
2025-07-24T03:40:16.7658771Z,Placing ladder from 20.42
2025-07-24T03:40:16.8127578Z,Shifting ladder up to start 20.43
2025-07-24T03:40:16.8128518Z,Placing ladder from 20.43
2025-07-24T03:40:17.0829908Z,Shifting ladder up to start 20.44
2025-07-24T03:40:17.0831084Z,Placing ladder from 20.44
2025-07-24T03:40:17.1615201Z,Shifting ladder down to start 20.43
2025-07-24T03:40:17.1617015Z,Placing ladder from 20.43
2025-07-24T03:40:17.2864408Z,Shifting ladder up to start 20.44
2025-07-24T03:40:17.2867259Z,Placing ladder from 20.44
2025-07-24T03:40:17.4421713Z,Shifting ladder up to start 20.45
2025-07-24T03:40:17.4423563Z,Placing ladder from 20.45
2025-07-24T03:40:17.5496827Z,Shifting ladder down to start 20.44
2025-07-24T03:40:17.5498196Z,Placing ladder from 20.44
2025-07-24T03:40:18.2703140Z,Shifting ladder up to start 20.45
2025-07-24T03:40:18.2704322Z,Placing ladder from 20.45
2025-07-24T03:40:18.3022885Z,Shifting ladder up to start 20.46
2025-07-24T03:40:18.3023298Z,Placing ladder from 20.46
2025-07-24T03:40:18.3949163Z,Shifting ladder up to start 20.47
2025-07-24T03:40:18.3950263Z,Placing ladder from 20.47
2025-07-24T03:40:18.5827047Z,Shifting ladder down to start 20.46
2025-07-24T03:40:18.5827561Z,Placing ladder from 20.46
