ts,buyPower,position,vwap,pnl
2025-07-24T03:38:08.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:38:09.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:38:10.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:38:11.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:38:12.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:38:13.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:38:14.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:38:15.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:38:16.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:38:17.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:38:18.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:38:19.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:38:20.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:38:21.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:38:22.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:38:23.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:38:24.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:38:25.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:38:26.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:38:27.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:38:28.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:38:29.1273233Z,4123.32,200,20.62,-1.07
2025-07-24T03:38:30.1273233Z,8253.38,400,20.63,18.86
2025-07-24T03:38:31.1273233Z,12361.50,598,20.67,52.98
2025-07-24T03:38:32.1273233Z,3125.75,150,20.84,68.57
2025-07-24T03:38:33.1273233Z,7306.21,350,20.87,75.45
2025-07-24T03:38:34.1273233Z,11499.74,550,20.91,104.20
2025-07-24T03:38:35.1273233Z,15704.27,750,20.94,118.64
2025-07-24T03:38:36.1273233Z,19910.66,950,20.96,133.97
2025-07-24T03:38:37.1273233Z,2361.45,112,21.08,170.75
2025-07-24T03:38:38.1273233Z,126.27,6,21.04,152.19
2025-07-24T03:38:39.1273233Z,755.65,36,20.99,142.81
2025-07-24T03:38:40.1273233Z,3474.39,166,20.93,134.97
2025-07-24T03:38:41.1273233Z,7656.51,366,20.92,129.19
2025-07-24T03:38:42.1273233Z,11837.05,566,20.91,126.98
2025-07-24T03:38:43.1273233Z,16016.61,766,20.91,125.09
2025-07-24T03:38:44.1273233Z,20200.85,966,20.91,157.49
2025-07-24T03:38:45.1273233Z,24385.33,1166,20.91,103.62
2025-07-24T03:38:46.1273233Z,2462.72,118,20.87,74.08
2025-07-24T03:38:47.1273233Z,6634.68,318,20.86,68.94
2025-07-24T03:38:48.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:38:49.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:38:50.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:38:51.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:38:52.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:38:53.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:38:54.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:38:55.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:38:56.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:38:57.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:38:58.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:38:59.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:39:00.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:39:01.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:39:02.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:39:03.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:39:04.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:39:05.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:39:06.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:39:07.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:39:08.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:39:09.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:39:10.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:39:11.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:39:12.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:39:13.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:39:14.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:39:15.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:39:16.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:39:17.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:39:18.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:39:19.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:39:20.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:39:21.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:39:22.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:39:23.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:39:24.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:39:25.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:39:26.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:39:27.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:39:28.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:39:29.1273233Z,948005.92,0,0.00,0.00
2025-07-24T03:39:30.1273233Z,950338.72,0,0.00,0.00
2025-07-24T03:39:31.1273233Z,862068.66,0,0.00,0.00
2025-07-24T03:39:32.1273233Z,955935.62,0,0.00,0.00
2025-07-24T03:39:33.1273233Z,963143.60,0,0.00,0.00
2025-07-24T03:39:34.1273233Z,970142.00,0,0.00,0.00
2025-07-24T03:39:35.1273233Z,971333.92,0,0.00,0.00
2025-07-24T03:39:36.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:39:37.1273233Z,984980.80,0,0.00,0.00
2025-07-24T03:39:38.1273233Z,986730.40,0,0.00,0.00
2025-07-24T03:39:39.1273233Z,988334.20,0,0.00,0.00
2025-07-24T03:39:40.1273233Z,989996.32,0,0.00,0.00
2025-07-24T03:39:41.1273233Z,993262.24,0,0.00,0.00
2025-07-24T03:39:42.1273233Z,994195.36,0,0.00,0.00
2025-07-24T03:39:43.1273233Z,736395.58,0,0.00,0.00
2025-07-24T03:39:44.1273233Z,995856.12,0,0.00,0.00
2025-07-24T03:39:45.1273233Z,998569.35,0,0.00,0.00
2025-07-24T03:39:46.1273233Z,1004168.07,0,0.00,0.00
2025-07-24T03:39:47.1273233Z,1008717.04,0,0.00,0.00
2025-07-24T03:39:48.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:39:49.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:39:50.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:39:51.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:39:52.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:39:53.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:39:54.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:39:55.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:39:56.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:39:57.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:39:58.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:39:59.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:40:00.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:40:01.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:40:02.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:40:03.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:40:04.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:40:05.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:40:06.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:40:07.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:40:08.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:40:09.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:40:10.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:40:11.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:40:12.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:40:13.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:40:14.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:40:15.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:40:16.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:40:17.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:40:18.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:40:19.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:40:20.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:40:21.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:40:22.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:40:23.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:40:24.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:40:25.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:40:26.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:40:27.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:40:28.1273233Z,1025119.86,518,20.86,378.45
2025-07-24T03:40:29.1273233Z,999088.86,136,21.40,371.13
2025-07-24T03:40:30.1273233Z,997831.36,154,21.34,364.28
2025-07-24T03:40:31.1273233Z,1001281.67,354,21.34,359.95
2025-07-24T03:40:32.1273233Z,1006483.03,554,21.34,366.79
2025-07-24T03:40:33.1273233Z,1012157.75,754,21.35,382.37
2025-07-24T03:40:34.1273233Z,859414.80,954,21.36,379.60
2025-07-24T03:40:35.1273233Z,1021648.06,1154,21.36,396.26
2025-07-24T03:40:36.1273233Z,1002262.64,42,21.50,23168.66
2025-07-24T03:40:37.1273233Z,1008150.00,242,21.52,23169.76
2025-07-24T03:40:38.1273233Z,1009470.00,8,21.68,23215.14
2025-07-24T03:40:39.1273233Z,1017499.44,2,21.84,23236.16
2025-07-24T03:40:40.1273233Z,1023804.26,202,21.85,23239.28
2025-07-24T03:40:41.1273233Z,1029584.07,402,21.88,23245.21
2025-07-24T03:40:42.1273233Z,1036301.18,602,21.89,23270.91
2025-07-24T03:40:43.1273233Z,1033679.04,140,22.09,23305.24
2025-07-24T03:40:44.1273233Z,1043711.09,340,22.14,23330.88
2025-07-24T03:40:45.1273233Z,2718.49,122,22.28,23344.47
2025-07-24T03:40:46.1273233Z,1045813.05,322,22.29,23341.88
2025-07-24T03:40:47.1273233Z,1051089.87,522,22.30,23342.78
2025-07-24T03:40:48.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:40:49.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:40:50.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:40:51.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:40:52.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:40:53.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:40:54.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:40:55.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:40:56.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:40:57.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:40:58.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:40:59.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:41:00.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:41:01.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:41:02.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:41:03.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:41:04.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:41:05.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:41:06.1273233Z,0.00,0,0.00,0.00
2025-07-24T03:41:07.1273233Z,0.00,0,0.00,0.00
