ts,side,price,qty
2025-07-24T03:38:08.1273233Z,Buy,20.01,2500
2025-07-24T03:38:08.1273233Z,Buy,20.01,1088
2025-07-24T03:38:08.1473233Z,Buy,20.01,1412
2025-07-24T03:38:08.1473233Z,Buy,20.01,755
2025-07-24T03:38:08.1573233Z,Buy,20.01,270
2025-07-24T03:38:08.1673233Z,Buy,20.01,359
2025-07-24T03:38:08.1973233Z,Buy,20.02,1178
2025-07-24T03:38:08.2073233Z,Buy,20.02,974
2025-07-24T03:38:08.2073233Z,Buy,20.03,2500
2025-07-24T03:38:08.2073233Z,Buy,20.03,1852
2025-07-24T03:38:08.2073233Z,Buy,20.04,2152
2025-07-24T03:38:08.2073233Z,Buy,20.04,1594
2025-07-24T03:38:08.2073233Z,Buy,20.05,644
2025-07-24T03:38:08.2273233Z,Buy,20.04,326
2025-07-24T03:38:08.2573233Z,Sell,20.03,1507
2025-07-24T03:38:08.2573233Z,Sell,20.03,213
2025-07-24T03:38:08.2573233Z,Sell,20.03,41
2025-07-24T03:38:08.2973233Z,Buy,20.05,2500
2025-07-24T03:38:08.2973233Z,Buy,20.05,273
2025-07-24T03:38:08.3073233Z,Buy,20.05,466
2025-07-24T03:38:08.3573233Z,Buy,20.04,453
2025-07-24T03:38:08.3673233Z,Buy,20.04,1205
2025-07-24T03:38:08.3773233Z,Buy,20.04,258
2025-07-24T03:38:08.3973233Z,Buy,20.04,270
2025-07-24T03:38:08.3973233Z,Buy,20.04,1354
2025-07-24T03:38:08.3973233Z,Buy,20.05,2483
2025-07-24T03:38:08.4173233Z,Buy,20.04,58
2025-07-24T03:38:08.4473233Z,Buy,20.04,279
2025-07-24T03:38:08.4473233Z,Buy,20.05,955
2025-07-24T03:38:08.4573233Z,Sell,20.03,923
2025-07-24T03:38:08.4673233Z,Sell,20.03,747
2025-07-24T03:38:08.4773233Z,Buy,20.05,349
2025-07-24T03:38:08.4873233Z,Buy,20.05,500
2025-07-24T03:38:08.5173233Z,Buy,20.05,737
2025-07-24T03:38:08.5273233Z,Sell,20.03,511
2025-07-24T03:38:08.5373233Z,Buy,20.05,2500
2025-07-24T03:38:08.5373233Z,Buy,20.05,1099
2025-07-24T03:38:08.5373233Z,Buy,20.05,1570
2025-07-24T03:38:08.5573233Z,Sell,20.03,667
2025-07-24T03:38:08.5573233Z,Sell,20.03,41
2025-07-24T03:38:08.5573233Z,Sell,20.03,2500
2025-07-24T03:38:08.5573233Z,Sell,20.03,392
2025-07-24T03:38:08.5773233Z,Sell,20.03,1334
2025-07-24T03:38:08.6073233Z,Buy,20.05,1348
2025-07-24T03:38:08.6073233Z,Buy,20.05,72
2025-07-24T03:38:08.6073233Z,Buy,20.05,550
2025-07-24T03:38:08.6473233Z,Sell,20.04,875
2025-07-24T03:38:08.6873233Z,Sell,20.04,361
2025-07-24T03:38:08.6873233Z,Sell,20.04,2500
2025-07-24T03:38:08.6873233Z,Sell,20.03,709
2025-07-24T03:38:08.7373233Z,Buy,20.04,53
2025-07-24T03:38:08.7373233Z,Buy,20.05,650
2025-07-24T03:38:08.7473233Z,Sell,20.03,136
2025-07-24T03:38:08.7473233Z,Sell,20.03,957
2025-07-24T03:38:08.7573233Z,Sell,20.03,1325
2025-07-24T03:38:08.7573233Z,Sell,20.03,1630
2025-07-24T03:38:08.7573233Z,Sell,20.03,2500
2025-07-24T03:38:08.7573233Z,Sell,20.02,1391
2025-07-24T03:38:08.7573233Z,Sell,20.02,751
2025-07-24T03:38:08.7673233Z,Sell,20.02,482
2025-07-24T03:38:08.7873233Z,Sell,20.03,1675
2025-07-24T03:38:08.8173233Z,Sell,20.03,824
2025-07-24T03:38:08.8473233Z,Buy,20.04,150
2025-07-24T03:38:08.8473233Z,Buy,20.05,1263
2025-07-24T03:38:08.8573233Z,Sell,20.03,598
2025-07-24T03:38:08.8673233Z,Buy,20.05,454
2025-07-24T03:38:08.8873233Z,Buy,20.05,2500
2025-07-24T03:38:08.8873233Z,Buy,20.05,3709
2025-07-24T03:38:08.8873233Z,Buy,20.05,310
2025-07-24T03:38:08.8973233Z,Sell,20.03,231
2025-07-24T03:38:08.9073233Z,Sell,20.03,441
2025-07-24T03:38:08.9373233Z,Buy,20.05,1443
2025-07-24T03:38:08.9373233Z,Buy,20.05,599
2025-07-24T03:38:08.9473233Z,Sell,20.03,333
2025-07-24T03:38:08.9573233Z,Sell,20.03,3449
2025-07-24T03:38:08.9573233Z,Sell,20.03,402
2025-07-24T03:38:08.9573233Z,Sell,20.03,2167
2025-07-24T03:38:08.9573233Z,Sell,20.03,333
2025-07-24T03:38:08.9573233Z,Sell,20.02,494
2025-07-24T03:38:08.9773233Z,Buy,20.05,452
2025-07-24T03:38:08.9873233Z,Sell,20.03,197
2025-07-24T03:38:09.0173233Z,Buy,20.04,342
2025-07-24T03:38:09.0273233Z,Sell,20.02,231
2025-07-24T03:38:09.0373233Z,Buy,20.04,135
2025-07-24T03:38:09.0373233Z,Buy,20.04,1820
2025-07-24T03:38:09.0573233Z,Buy,20.04,680
2025-07-24T03:38:09.0573233Z,Buy,20.04,1792
2025-07-24T03:38:09.1273233Z,Buy,20.03,398
2025-07-24T03:38:09.1273233Z,Buy,20.03,80
2025-07-24T03:38:09.1373233Z,Buy,20.03,267
2025-07-24T03:38:09.1473233Z,Sell,20.02,198
2025-07-24T03:38:09.1473233Z,Sell,20.02,513
2025-07-24T03:38:09.1473233Z,Sell,20.02,1830
2025-07-24T03:38:09.1573233Z,Buy,20.03,1275
2025-07-24T03:38:09.1573233Z,Buy,20.04,380
2025-07-24T03:38:09.1773233Z,Sell,20.03,1453
2025-07-24T03:38:09.1773233Z,Sell,20.02,2500
2025-07-24T03:38:09.1773233Z,Sell,20.02,929
2025-07-24T03:38:09.1773233Z,Sell,20.02,1719
2025-07-24T03:38:09.1873233Z,Sell,20.02,2500
2025-07-24T03:38:09.1873233Z,Sell,20.02,1316
2025-07-24T03:38:09.1873233Z,Sell,20.02,2901
2025-07-24T03:38:09.1873233Z,Sell,20.01,206
2025-07-24T03:38:09.2173233Z,Sell,20.02,98
