ts,bidPrice,bidQty,askPrice,askQty
2025-07-24T01:38:41.9996237Z,19.99,4967,20.01,5000
2025-07-24T01:38:41.9996237Z,19.98,4304,20.02,4304
2025-07-24T01:38:41.9996237Z,19.97,3704,20.03,3704
2025-07-24T01:38:41.9996237Z,19.96,1594,20.04,3188
2025-07-24T01:38:41.9996237Z,19.95,2744,20.05,2744
2025-07-24T01:38:41.9996237Z,19.94,2362,20.06,2362
2025-07-24T01:38:41.9996237Z,19.93,2032,20.07,2032
2025-07-24T01:38:41.9996237Z,19.92,1750,20.08,1750
2025-07-24T01:38:41.9996237Z,19.91,1506,20.09,1506
2025-07-24T01:38:41.9996237Z,19.90,1296,20.10,1296
                                   
2025-07-24T01:38:42.9996237Z,20.05,1184,20.07,1629
2025-07-24T01:38:42.9996237Z,20.05,2500,20.07,4811
2025-07-24T01:38:42.9996237Z,20.04,7711,20.08,2152
2025-07-24T01:38:42.9996237Z,20.04,2152,20.08,875
2025-07-24T01:38:42.9996237Z,20.03,31714,20.09,1852
2025-07-24T01:38:42.9996237Z,20.03,1852,20.10,1594
2025-07-24T01:38:42.9996237Z,20.02,1315,20.10,648
2025-07-24T01:38:42.9996237Z,20.02,1594,20.11,1372
2025-07-24T01:38:42.9996237Z,20.01,489,20.12,1181
2025-07-24T01:38:42.9996237Z,20.01,1372,20.13,1016
                                   
2025-07-24T01:38:43.9996237Z,20.04,19909,20.05,14082
2025-07-24T01:38:43.9996237Z,20.04,2500,20.06,2500
2025-07-24T01:38:43.9996237Z,20.03,4266,20.06,9276
2025-07-24T01:38:43.9996237Z,20.03,2152,20.07,2152
2025-07-24T01:38:43.9996237Z,20.02,4622,20.07,4811
2025-07-24T01:38:43.9996237Z,20.02,1852,20.08,1852
2025-07-24T01:38:43.9996237Z,20.01,7975,20.09,1594
2025-07-24T01:38:43.9996237Z,20.01,1594,20.10,1372
2025-07-24T01:38:43.9996237Z,20.00,1372,20.10,648
2025-07-24T01:38:43.9996237Z,19.99,470,20.11,1181
                                   
2025-07-24T01:38:44.9996237Z,20.03,2500,20.04,1527
2025-07-24T01:38:44.9996237Z,20.03,5070,20.05,3023
2025-07-24T01:38:44.9996237Z,20.02,2152,20.05,2500
2025-07-24T01:38:44.9996237Z,20.02,2568,20.06,2152
2025-07-24T01:38:44.9996237Z,20.01,1852,20.07,12401
2025-07-24T01:38:44.9996237Z,20.01,21027,20.07,1852
2025-07-24T01:38:44.9996237Z,20.00,1594,20.08,767
2025-07-24T01:38:44.9996237Z,19.99,1372,20.08,1594
2025-07-24T01:38:44.9996237Z,19.99,470,20.09,3765
2025-07-24T01:38:44.9996237Z,19.98,1181,20.09,1372
                                   
