ts,message
2025-07-24T01:38:41.9975560Z,DripFlipStrategy ready.
2025-07-24T01:38:41.9984525Z,LadderLiftStrategy initialized at 2025-07-24T01:38:41.9983909Z
2025-07-24T01:39:34.7805749Z,Flattening 1370 @ market (bid=20.09, vwap=19.99)
2025-07-24T01:39:39.7060995Z,Flattening 313 @ market (bid=19.97, vwap=20.16)
2025-07-24T01:39:39.7533998Z,Flattening 2 @ market (bid=20.04, vwap=20.09)
2025-07-24T01:39:40.7444816Z,Flattening 62 @ market (bid=20.01, vwap=20.06)
2025-07-24T01:39:40.9327931Z,Flattening 11 @ market (bid=19.97, vwap=20.02)
2025-07-24T01:39:42.3097388Z,Flattening 87 @ market (bid=19.95, vwap=20.02)
2025-07-24T01:40:47.2680824Z,Placing ladder from 20.33
2025-07-24T01:40:47.3899648Z,Got touched ‑ cancelling ladder to stay flat
2025-07-24T01:40:47.4056337Z,Placing ladder from 20.32
2025-07-24T01:40:47.6257069Z,Shifting ladder up to start 20.33
2025-07-24T01:40:47.6267958Z,Placing ladder from 20.33
2025-07-24T01:40:48.7056843Z,Shifting ladder down to start 20.32
2025-07-24T01:40:48.7058457Z,Placing ladder from 20.32
2025-07-24T01:40:49.1095434Z,Shifting ladder up to start 20.33
2025-07-24T01:40:49.1097258Z,Placing ladder from 20.33
2025-07-24T01:40:49.2198334Z,Shifting ladder up to start 20.33
2025-07-24T01:40:49.2199021Z,Placing ladder from 20.33
2025-07-24T01:40:49.2363029Z,Shifting ladder down to start 20.32
2025-07-24T01:40:49.2365197Z,Placing ladder from 20.32
2025-07-24T01:40:49.2817722Z,Shifting ladder up to start 20.33
2025-07-24T01:40:49.2818682Z,Placing ladder from 20.33
2025-07-24T01:40:50.4429727Z,Shifting ladder up to start 20.34
2025-07-24T01:40:50.4431811Z,Placing ladder from 20.34
2025-07-24T01:40:50.5056717Z,Shifting ladder down to start 20.33
2025-07-24T01:40:50.5057914Z,Placing ladder from 20.33
2025-07-24T01:40:50.7884058Z,Shifting ladder up to start 20.33
2025-07-24T01:40:50.7886514Z,Placing ladder from 20.33
2025-07-24T01:40:50.9141002Z,Shifting ladder down to start 20.32
2025-07-24T01:40:50.9142570Z,Placing ladder from 20.32
2025-07-24T01:40:50.9764520Z,Shifting ladder up to start 20.33
2025-07-24T01:40:50.9765959Z,Placing ladder from 20.33
2025-07-24T01:40:51.1308985Z,Shifting ladder down to start 20.32
2025-07-24T01:40:51.1309310Z,Placing ladder from 20.32
2025-07-24T01:40:51.2402588Z,Shifting ladder up to start 20.33
2025-07-24T01:40:51.2403407Z,Placing ladder from 20.33
2025-07-24T01:40:51.4118706Z,Shifting ladder up to start 20.34
2025-07-24T01:40:51.4120773Z,Placing ladder from 20.34
2025-07-24T01:40:51.5066900Z,Shifting ladder down to start 20.33
2025-07-24T01:40:51.5068145Z,Placing ladder from 20.33
2025-07-24T01:40:51.5988688Z,Shifting ladder down to start 20.32
2025-07-24T01:40:51.5990094Z,Placing ladder from 20.32
2025-07-24T01:40:51.6296420Z,Shifting ladder down to start 20.31
2025-07-24T01:40:51.6297096Z,Placing ladder from 20.31
2025-07-24T01:40:51.6454922Z,Shifting ladder up to start 20.32
2025-07-24T01:40:51.6455999Z,Placing ladder from 20.32
2025-07-24T01:40:51.8488354Z,Got touched ‑ cancelling ladder to stay flat
2025-07-24T01:40:51.8647157Z,Placing ladder from 20.32
2025-07-24T01:40:52.0820829Z,Shifting ladder up to start 20.33
2025-07-24T01:40:52.0823074Z,Placing ladder from 20.33
2025-07-24T01:40:52.4435520Z,Got touched ‑ cancelling ladder to stay flat
2025-07-24T01:40:52.4597798Z,Placing ladder from 20.32
2025-07-24T01:40:52.7256119Z,Shifting ladder up to start 20.33
2025-07-24T01:40:52.7257797Z,Placing ladder from 20.33
2025-07-24T01:40:52.8818372Z,Shifting ladder down to start 20.32
2025-07-24T01:40:52.8819911Z,Placing ladder from 20.32
2025-07-24T01:40:53.4736566Z,Shifting ladder up to start 20.33
2025-07-24T01:40:53.4737854Z,Placing ladder from 20.33
2025-07-24T01:40:53.7861040Z,Shifting ladder up to start 20.32
2025-07-24T01:40:53.7861676Z,Placing ladder from 20.32
2025-07-24T01:40:53.8023534Z,Shifting ladder up to start 20.33
2025-07-24T01:40:53.8026290Z,Placing ladder from 20.33
2025-07-24T01:40:54.6600930Z,Shifting ladder down to start 20.32
2025-07-24T01:40:54.6602872Z,Placing ladder from 20.32
2025-07-24T01:40:57.0271350Z,Shifting ladder down to start 20.31
2025-07-24T01:40:57.0276145Z,Placing ladder from 20.31
2025-07-24T01:40:58.2159998Z,Shifting ladder down to start 20.30
2025-07-24T01:40:58.2162170Z,Placing ladder from 20.30
2025-07-24T01:40:58.2624479Z,Shifting ladder up to start 20.31
2025-07-24T01:40:58.2627163Z,Placing ladder from 20.31
2025-07-24T01:40:58.5937345Z,Shifting ladder up to start 20.31
2025-07-24T01:40:58.5938866Z,Placing ladder from 20.31
2025-07-24T01:40:58.6881324Z,Shifting ladder down to start 20.30
2025-07-24T01:40:58.6883798Z,Placing ladder from 20.30
2025-07-24T01:40:58.9109408Z,Shifting ladder down to start 20.29
2025-07-24T01:40:58.9112129Z,Placing ladder from 20.29
2025-07-24T01:40:58.9419244Z,Shifting ladder up to start 20.30
2025-07-24T01:40:58.9420750Z,Placing ladder from 20.30
2025-07-24T01:40:59.0672793Z,Shifting ladder down to start 20.29
2025-07-24T01:40:59.0674578Z,Placing ladder from 20.29
2025-07-24T01:40:59.0831609Z,Shifting ladder up to start 20.30
2025-07-24T01:40:59.0832246Z,Placing ladder from 20.30
2025-07-24T01:40:59.1298585Z,Shifting ladder down to start 20.29
2025-07-24T01:40:59.1300933Z,Placing ladder from 20.29
2025-07-24T01:40:59.1454498Z,Shifting ladder up to start 20.30
2025-07-24T01:40:59.1455899Z,Placing ladder from 20.30
2025-07-24T01:40:59.2557026Z,Shifting ladder up to start 20.30
2025-07-24T01:40:59.2557985Z,Placing ladder from 20.30
2025-07-24T01:40:59.4267421Z,Shifting ladder up to start 20.31
2025-07-24T01:40:59.4269580Z,Placing ladder from 20.31
2025-07-24T01:40:59.7565320Z,Shifting ladder down to start 20.30
2025-07-24T01:40:59.7567107Z,Placing ladder from 20.30
2025-07-24T01:40:59.8186988Z,Shifting ladder up to start 20.31
2025-07-24T01:40:59.8188463Z,Placing ladder from 20.31
2025-07-24T01:40:59.9132152Z,Got touched ‑ cancelling ladder to stay flat
2025-07-24T01:40:59.9281890Z,Placing ladder from 20.30
2025-07-24T01:41:00.1143325Z,Shifting ladder up to start 20.31
2025-07-24T01:41:00.1145537Z,Placing ladder from 20.31
2025-07-24T01:41:00.3017588Z,Shifting ladder up to start 20.32
2025-07-24T01:41:00.3018328Z,Placing ladder from 20.32
2025-07-24T01:41:00.4268664Z,Got touched ‑ cancelling ladder to stay flat
2025-07-24T01:41:00.4415388Z,Placing ladder from 20.31
2025-07-24T01:41:00.8513536Z,Got touched ‑ cancelling ladder to stay flat
2025-07-24T01:41:00.8666335Z,Placing ladder from 20.30
2025-07-24T01:41:00.8816535Z,Shifting ladder up to start 20.31
2025-07-24T01:41:00.8817618Z,Placing ladder from 20.31
