ts,orderId,execType,side,price,lastQty,leaves
2025-07-24T01:38:41.9996237Z,10b81392-34ae-4066-b34d-2bbd8042df46,Trade,Buy,19.99,33,2467
2025-07-24T01:38:41.9996237Z,3258109e-66cd-4a65-9762-406452c6c21f,Cancel,Buy,19.96,0,0
2025-07-24T01:38:42.0096237Z,f148045d-9988-4c3e-92c8-4c83b4033eca,New,Sell,20.01,0,898
2025-07-24T01:38:42.0196237Z,c42be874-aa73-4902-a8a1-a4bcfa8907c1,Trade,Buy,19.99,686,1814
2025-07-24T01:38:42.0296237Z,10b81392-34ae-4066-b34d-2bbd8042df46,Trade,Buy,19.99,207,2260
2025-07-24T01:38:42.0296237Z,149710fa-27bf-40fd-9b1b-c566e62aea8b,Cancel,Buy,19.97,0,0
2025-07-24T01:38:42.0396237Z,ac007bbe-c1d5-4deb-bc72-4432f8c976d0,New,Sell,20.02,0,1269
2025-07-24T01:38:42.0496237Z,46c2d270-fa4d-4220-94aa-7814bcdfc19c,Trade,Sell,20.01,627,1873
2025-07-24T01:38:42.0596237Z,283c7ebe-8558-4a3c-8599-a96d43e6055e,New,Sell,20.01,0,4109
2025-07-24T01:38:42.0696237Z,60d8887e-4e24-4bdc-8bde-51cde488dfc9,Trade,Sell,20.01,601,1899
2025-07-24T01:38:42.0696237Z,17f6fee7-2e34-4290-9c61-d81f50d69aa3,Cancel,Sell,20.04,0,0
2025-07-24T01:38:42.0796237Z,73ac641b-b17d-4eba-8c9d-75d0e75f8ef9,Trade,Buy,19.99,686,0
2025-07-24T01:38:42.0796237Z,10b81392-34ae-4066-b34d-2bbd8042df46,Trade,Buy,19.99,1722,538
2025-07-24T01:38:42.0796237Z,c42be874-aa73-4902-a8a1-a4bcfa8907c1,Cancel,Buy,19.99,0,0
2025-07-24T01:38:42.0896237Z,1500e2fe-5bb3-491a-9518-2cda0a9525c5,New,Buy,19.99,0,628
2025-07-24T01:38:42.0996237Z,f148045d-9988-4c3e-92c8-4c83b4033eca,Trade,Sell,20.01,94,804
2025-07-24T01:38:42.1096237Z,dca58136-6567-46b2-98a3-d1c7a223aa14,New,Sell,20.01,0,1647
2025-07-24T01:38:42.1196237Z,10b81392-34ae-4066-b34d-2bbd8042df46,Trade,Buy,19.99,538,0
2025-07-24T01:38:42.1196237Z,46897497-4b56-4a35-90e7-c227174daa03,Trade,Buy,19.99,1074,1426
2025-07-24T01:38:42.1296237Z,46c2d270-fa4d-4220-94aa-7814bcdfc19c,Trade,Sell,20.01,1873,0
2025-07-24T01:38:42.1296237Z,283c7ebe-8558-4a3c-8599-a96d43e6055e,Trade,Sell,20.01,9,4100
2025-07-24T01:38:42.1396237Z,ce409108-2a2a-4102-87c0-584643716185,New,Sell,20.00,0,1780
2025-07-24T01:38:42.1496237Z,ce409108-2a2a-4102-87c0-584643716185,Trade,Sell,20.00,327,1453
2025-07-24T01:38:42.1496237Z,c30c96bc-51ff-4fe4-aeef-63b537b30222,Cancel,Sell,20.01,0,0
2025-07-24T01:38:42.1596237Z,1500e2fe-5bb3-491a-9518-2cda0a9525c5,Trade,Buy,19.99,628,0
2025-07-24T01:38:42.1596237Z,dbd7f106-4d15-4355-b655-9acb0230a185,Trade,Buy,19.99,19,2481
2025-07-24T01:38:42.1696237Z,eaeb3bb4-e31b-407e-9d9a-ab0753a36939,New,Sell,20.02,0,5642
2025-07-24T01:38:42.1696237Z,813dc39b-6011-450c-9668-c87408cb3b72,Cancel,Buy,19.90,0,0
2025-07-24T01:38:42.1796237Z,7a1c23c3-7c20-41bc-8ca1-698854a5cd72,Trade,Buy,19.98,897,1603
2025-07-24T01:38:42.1896237Z,b4e64e31-7f34-4a07-95ad-f7a0fdd2d15e,Trade,Buy,19.98,434,2066
2025-07-24T01:38:42.1996237Z,ce409108-2a2a-4102-87c0-584643716185,Trade,Sell,20.00,815,638
2025-07-24T01:38:42.2096237Z,ce409108-2a2a-4102-87c0-584643716185,Trade,Sell,20.00,145,493
2025-07-24T01:38:42.2196237Z,ce409108-2a2a-4102-87c0-584643716185,Trade,Sell,20.00,225,268
2025-07-24T01:38:42.2296237Z,f6d52f90-ada6-4917-ae8f-f11aaabfb563,New,Buy,19.98,0,2582
2025-07-24T01:38:42.2396237Z,ce409108-2a2a-4102-87c0-584643716185,Trade,Sell,20.00,268,0
2025-07-24T01:38:42.2396237Z,0f6cecbd-8878-4792-86c2-4f04ba71e561,Trade,Sell,20.00,1079,1421
2025-07-24T01:38:42.2496237Z,0f6cecbd-8878-4792-86c2-4f04ba71e561,Trade,Sell,20.00,1421,0
2025-07-24T01:38:42.2496237Z,dc5084d0-2328-44d8-bc04-c0bee182a5a4,Trade,Sell,20.00,1079,0
2025-07-24T01:38:42.2496237Z,f148045d-9988-4c3e-92c8-4c83b4033eca,Trade,Sell,20.01,804,0
2025-07-24T01:38:42.2496237Z,dca58136-6567-46b2-98a3-d1c7a223aa14,Trade,Sell,20.01,1647,0
