ts,buyPower,position,vwap,pnl
2025-07-24T01:38:41.9996237Z,0.00,0,0.00,0.00
2025-07-24T01:38:42.9996237Z,0.00,0,0.00,0.00
2025-07-24T01:38:43.9996237Z,0.00,0,0.00,0.00
2025-07-24T01:38:44.9996237Z,0.00,0,0.00,0.00
2025-07-24T01:38:45.9996237Z,0.00,0,0.00,0.00
2025-07-24T01:38:46.9996237Z,0.00,0,0.00,0.00
2025-07-24T01:38:47.9996237Z,0.00,0,0.00,0.00
2025-07-24T01:38:48.9996237Z,0.00,0,0.00,0.00
2025-07-24T01:38:49.9996237Z,0.00,0,0.00,0.00
2025-07-24T01:38:50.9996237Z,0.00,0,0.00,0.00
2025-07-24T01:38:51.9996237Z,0.00,0,0.00,0.00
2025-07-24T01:38:52.9996237Z,0.00,0,0.00,0.00
2025-07-24T01:38:53.9996237Z,0.00,0,0.00,0.00
2025-07-24T01:38:54.9996237Z,0.00,0,0.00,0.00
2025-07-24T01:38:55.9996237Z,0.00,0,0.00,0.00
2025-07-24T01:38:56.9996237Z,0.00,0,0.00,0.00
2025-07-24T01:38:57.9996237Z,0.00,0,0.00,0.00
2025-07-24T01:38:58.9996237Z,0.00,0,0.00,0.00
2025-07-24T01:38:59.9996237Z,0.00,0,0.00,0.00
2025-07-24T01:39:00.9996237Z,0.00,0,0.00,0.00
2025-07-24T01:39:01.9996237Z,0.00,0,0.00,0.00
2025-07-24T01:39:02.9996237Z,3980.42,200,19.90,-0.42
2025-07-24T01:39:03.9996237Z,7968.16,400,19.92,7.84
2025-07-24T01:39:04.9996237Z,11962.04,600,19.94,19.96
2025-07-24T01:39:05.9996237Z,15963.38,800,19.95,36.62
2025-07-24T01:39:06.9996237Z,19964.32,1000,19.96,5.68
2025-07-24T01:39:07.9996237Z,23962.12,1200,19.97,1.88
2025-07-24T01:39:08.9996237Z,27961.40,1400,19.97,24.60
2025-07-24T01:39:09.9996237Z,31961.40,1600,19.98,22.60
2025-07-24T01:39:10.9996237Z,35960.26,1800,19.98,3.74
2025-07-24T01:39:11.9996237Z,39958.03,2000,19.98,-18.03
2025-07-24T01:39:12.9996237Z,43954.10,2200,19.98,-20.10
2025-07-24T01:39:13.9996237Z,47951.27,2400,19.98,-23.27
2025-07-24T01:39:14.9996237Z,51953.86,2600,19.98,98.75
2025-07-24T01:39:15.9996237Z,1126.66,56,20.12,30392.86
2025-07-24T01:39:16.9996237Z,5159.76,256,20.16,30381.76
2025-07-24T01:39:17.9996237Z,9192.96,456,20.16,30384.28
2025-07-24T01:39:18.9996237Z,441.54,22,20.07,30221.89
2025-07-24T01:39:19.9996237Z,1441.07,72,20.01,30214.33
2025-07-24T01:39:20.9996237Z,1919.44,96,19.99,30200.44
2025-07-24T01:39:21.9996237Z,0.00,0,0.00,0.00
2025-07-24T01:39:22.9996237Z,0.00,0,0.00,0.00
2025-07-24T01:39:23.9996237Z,0.00,0,0.00,0.00
2025-07-24T01:39:24.9996237Z,0.00,0,0.00,0.00
2025-07-24T01:39:25.9996237Z,0.00,0,0.00,0.00
2025-07-24T01:39:26.9996237Z,0.00,0,0.00,0.00
2025-07-24T01:39:27.9996237Z,0.00,0,0.00,0.00
2025-07-24T01:39:28.9996237Z,0.00,0,0.00,0.00
2025-07-24T01:39:29.9996237Z,0.00,0,0.00,0.00
2025-07-24T01:39:30.9996237Z,0.00,0,0.00,0.00
2025-07-24T01:39:31.9996237Z,0.00,0,0.00,0.00
2025-07-24T01:39:32.9996237Z,0.00,0,0.00,0.00
2025-07-24T01:39:33.9996237Z,0.00,0,0.00,0.00
