ts,side,price,qty
2025-07-24T01:38:41.9996237Z,Sell,19.99,33
2025-07-24T01:38:42.0196237Z,Sell,19.99,686
2025-07-24T01:38:42.0296237Z,Sell,19.99,207
2025-07-24T01:38:42.0496237Z,Buy,20.01,627
2025-07-24T01:38:42.0696237Z,Buy,20.01,601
2025-07-24T01:38:42.0796237Z,Sell,19.99,686
2025-07-24T01:38:42.0796237Z,Sell,19.99,1722
2025-07-24T01:38:42.0996237Z,Buy,20.01,94
2025-07-24T01:38:42.1196237Z,Sell,19.99,538
2025-07-24T01:38:42.1196237Z,Sell,19.99,1074
2025-07-24T01:38:42.1296237Z,Buy,20.01,1873
2025-07-24T01:38:42.1296237Z,Buy,20.01,9
2025-07-24T01:38:42.1496237Z,Buy,20.00,327
2025-07-24T01:38:42.1596237Z,Sell,19.99,628
2025-07-24T01:38:42.1596237Z,Sell,19.99,19
2025-07-24T01:38:42.1796237Z,Sell,19.98,897
2025-07-24T01:38:42.1896237Z,Sell,19.98,434
2025-07-24T01:38:42.1996237Z,Buy,20.00,815
2025-07-24T01:38:42.2096237Z,Buy,20.00,145
2025-07-24T01:38:42.2196237Z,Buy,20.00,225
2025-07-24T01:38:42.2396237Z,Buy,20.00,268
2025-07-24T01:38:42.2396237Z,Buy,20.00,1079
2025-07-24T01:38:42.2496237Z,Buy,20.00,1421
2025-07-24T01:38:42.2496237Z,Buy,20.00,1079
2025-07-24T01:38:42.2496237Z,Buy,20.01,804
2025-07-24T01:38:42.2496237Z,Buy,20.01,1647
2025-07-24T01:38:42.2496237Z,Buy,20.01,902
2025-07-24T01:38:42.2596237Z,Sell,19.99,1237
2025-07-24T01:38:42.2696237Z,Sell,19.99,1263
2025-07-24T01:38:42.2696237Z,Sell,19.99,1237
2025-07-24T01:38:42.2696237Z,Sell,19.98,563
2025-07-24T01:38:42.2796237Z,Buy,20.00,1046
2025-07-24T01:38:42.2996237Z,Buy,20.00,131
2025-07-24T01:38:42.2996237Z,Buy,20.00,2500
2025-07-24T01:38:42.2996237Z,Buy,20.01,3198
2025-07-24T01:38:42.2996237Z,Buy,20.01,2152
2025-07-24T01:38:42.2996237Z,Buy,20.02,2152
2025-07-24T01:38:42.2996237Z,Buy,20.02,1269
2025-07-24T01:38:42.2996237Z,Buy,20.02,5118
2025-07-24T01:38:42.3196237Z,Buy,20.01,2500
2025-07-24T01:38:42.3196237Z,Buy,20.02,524
